Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0fd9c5ddc8b586acbbdeee956ca9822e30c07a4f4102754a5a63601b505c0502,2020-12,Gwent Police,Gwent Police,-2.990649,51.579214,On or near FRANCIS DRIVE,W01001662,Newport 018D,Investigation complete; no suspect identified
493c05d782c4b31f9b897192eb8b706f5748290661300e041ac85f80a4f7872d,2020-12,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Investigation complete; no suspect identified
29bb3b27e9dc113875f61a35e4f0cf64f80fc8746cb0a3d53af67da9a51f614e,2020-12,Gwent Police,Gwent Police,-3.225186,51.585839,On or near Supermarket,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
e7559b920c16ab6c73a155ef792afe460c424b1ba8184f97a6847722e53f2ea4,2020-12,Gwent Police,Gwent Police,-3.205463,51.582905,On or near DOL FRAN,W01001421,Caerphilly 022E,Investigation complete; no suspect identified
496afad72648361c2d64f81e73fad29f9e280d1b137bffdca9e8302db2093e7f,2020-12,Gwent Police,Gwent Police,-3.019746,51.534807,On or near CHURCH ROAD,W01001912,Newport 020E,Investigation complete; no suspect identified
7c87727fa2bb52faa37d66050c2a1c1fd02e84fa337149a4c5c61d941a225b8a,2020-12,Gwent Police,Gwent Police,-3.003531,51.592035,On or near QUEEN'S HILL CRESCENT,W01001603,Newport 012C,Investigation complete; no suspect identified
150d04536fb2b80ec8f177719cb95262a2533b688e87a52cf44f332fd01e878a,2020-12,Gwent Police,Gwent Police,-3.127949,51.721121,On or near Pedestrian Subway,W01001476,Blaenau Gwent 009D,Investigation complete; no suspect identified
af6630da1c0404b2531ff09373d1b8264a8cb85a26d80bf6b07122e391bacec3,2020-12,Gwent Police,Gwent Police,-3.196425,51.654715,On or near HILL VIEW,W01001405,Caerphilly 011E,Investigation complete; no suspect identified
be96263ceca7b72abe2c0c96bccecacdeaaaa28e0f4438d8da6ce811164b5a5b,2020-12,Gwent Police,Gwent Police,-3.083441,51.602699,On or near TY-ISAF PARK ROAD,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
604dbee06557df1c929543d3e804dafcd7cb739b4d7eda8280080f7a47cd5b70,2020-12,Gwent Police,Gwent Police,-3.140161,51.677116,On or near CROWN STREET,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
afcec725d6c892396e2b9c9de06866871e26d6b2e7475e1136264e96bf5b5797,2020-12,Gwent Police,Gwent Police,-2.987910,51.591295,On or near Petrol Station,W01001693,Newport 013E,Investigation complete; no suspect identified
1f729b5eb33ed80f4da64831189b5834f8ef1fa1e809c162ef326611b9e767bd,2020-12,Gwent Police,Gwent Police,-3.022551,51.684250,On or near MARTINDALE ROAD,W01001515,Torfaen 006B,Investigation complete; no suspect identified
ebbe4e3570321f896e936dd43ba975163f84d79aa5d2fbb6c28679e4ea157569,2020-12,Gwent Police,Gwent Police,-3.066113,51.742406,On or near GWYN CRESCENT,W01001482,Torfaen 002A,Investigation complete; no suspect identified
91284ae63a04f1bd1b6bdfdf6182aa1c017f2044bb966c86c57931e98c29e567,2020-12,Gwent Police,Gwent Police,-3.036947,51.640065,On or near COEDEVA MILL,W01001492,Torfaen 012A,Investigation complete; no suspect identified
7821d871350905f78606e3d0d389d67cbd5e3c88871f4229813fa6ea851b3a87,2020-12,Gwent Police,Gwent Police,-3.291579,51.651828,On or near YNYS LAS,W01001379,Caerphilly 013C,Investigation complete; no suspect identified
c828c79edebeb0c5e9b06b8cf7c951ef2962989ea75e1ee6336353f51f30660d,2020-12,Gwent Police,Gwent Police,-3.078011,51.544123,On or near CASTLETON RISE,W01001658,Newport 020D,Investigation complete; no suspect identified
ae8f13e81318f08929c66ce10f8be4a3342dafa243335a92e8e7e432ce0dcf5d,2020-12,Gwent Police,Gwent Police,-2.982934,51.594169,On or near DEAN STREET,W01001676,Newport 007B,Investigation complete; no suspect identified
33af4755a2606808d978cdd7b9458e9d9253948352bc0d75a471185a30fb0c48,2020-12,Gwent Police,Gwent Police,-2.672059,51.644708,On or near GWY COURT,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
dc170a08140bbfc4df77e5f9d3adc9405fe7a394b4f1bedb15e8d0665f08701a,2020-12,Gwent Police,Gwent Police,-3.274299,51.752570,On or near NURSERY CRESCENT,W01001376,Caerphilly 001C,Investigation complete; no suspect identified
ac4d9343a42214825d2ecceaf8a7c22e2bc195ec146972eb2a9321f8ae2f8d7b,2020-12,Gwent Police,Gwent Police,-3.087085,51.610146,On or near HOLLY ROAD,W01001409,Caerphilly 016C,Investigation complete; no suspect identified
2257a8cda636fbde2c33b977b90952a4ab5a21450611494241660128cc192725,2020-12,Gwent Police,Gwent Police,-3.214638,51.786444,On or near Supermarket,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
3af2624e78da9b0dd1a0239ada2a1814d0694d83c3057928dfeb06fbe0204d29,2020-12,Gwent Police,Gwent Police,-3.220102,51.573348,On or near CARDIFF ROAD,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
acb50bb357f22335004b69ccc3fbd5c48dac5d2c7bfd7c41de7ce4b86e4a5759,2020-12,Gwent Police,Gwent Police,-3.220102,51.573348,On or near CARDIFF ROAD,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
ccfbe657ff6b55f9e7a13a97558496c514a3f63eb8eb8f24349ecb62d4d822ec,2020-12,Gwent Police,Gwent Police,-3.220102,51.573348,On or near CARDIFF ROAD,W01001424,Caerphilly 024C,Investigation complete; no suspect identified
297f9ffb790c81e9fb28981986d61882f8a2d7db16313aafdf61d1fe2a259e4e,2020-12,Gwent Police,Gwent Police,-3.229690,51.685240,On or near GILFACH STREET,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
72b301a38bda7f22e8e9ad7fbf880f52f1f128ef09f5ed47eb739eca143e32ab,2020-12,Gwent Police,Gwent Police,-3.240611,51.577206,On or near LON Y FRAN,W01001399,Caerphilly 023E,Investigation complete; no suspect identified
bf14eefd355bcf5e56df6d88cd7de5d44e36f0f056064ee05308e242e5de26d5,2020-12,Gwent Police,Gwent Police,-3.268356,51.744695,On or near CARN-Y-TYLA TERRACE,W01001374,Caerphilly 001A,Investigation complete; no suspect identified
10fe12e321303c1df450e65eb55cce00ea3e3380db4ac6f113e4a8aab7f97a9f,2020-12,Gwent Police,Gwent Police,-3.165328,51.596555,On or near Sports/Recreation Area,W01001346,Caerphilly 020D,Investigation complete; no suspect identified
4a987acf2a71ab8ae3611e1afcac28bcdcdf5af2be3759ac4485e3380d7639cb,2020-12,Gwent Police,Gwent Police,-3.023609,51.832968,On or near Conference/Exhibition Centre,W01001546,Monmouthshire 002A,Investigation complete; no suspect identified
634f18181dae7a1ceea5023e565832f447388d7c26c5ef0ec70e5244e2df17fa,2020-12,Gwent Police,Gwent Police,-3.229880,51.687944,On or near HANBURY SQUARE,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
fb72c27fbd6268d459ae6a34397ccfb54c470e34a6fd7c721812ed5fb05d1a25,2020-12,Gwent Police,Gwent Police,-3.133303,51.731437,On or near PARK PLACE,W01001435,Blaenau Gwent 008A,Investigation complete; no suspect identified
a4391d2d1be6aa2850a8f4d13ff3d65d84765994c2222e1c7e610ca7fa2cdb1c,2020-12,Gwent Police,Gwent Police,-3.085607,51.772565,On or near Supermarket,W01001489,Torfaen 001C,Investigation complete; no suspect identified
93c9c79eeda89cc19d7de514939309c125443bf20dd81ff642d6dd7dba32a4e2,2020-12,Gwent Police,Gwent Police,-2.998152,51.579789,On or near Hospital,W01001686,Newport 014C,Investigation complete; no suspect identified
35447d6a268e31dd01c9feb367c93945fbf68e4c2966f4e7ac1ad63e4e9f549b,2020-12,Gwent Police,Gwent Police,-3.045549,51.717442,On or near BEECHWOOD WALK,W01001530,Torfaen 003C,Investigation complete; no suspect identified
22db10a265ee99b4e19e809f28dcf04948bbf1ae9b918580d19a60e960173013,2020-12,Gwent Police,Gwent Police,-2.987372,51.581786,On or near LOWER DOCK STREET,W01001661,Newport 018C,Investigation complete; no suspect identified
32e5ea1b6badd69e9533fab504a5ff359142ce4a52c1225402d9c676d69f95f1,2020-12,Gwent Police,Gwent Police,-3.076831,51.595512,On or near VIOLET WALK,W01001636,Newport 020A,Investigation complete; no suspect identified
f02cb9d7091c342d56cdd8f8869087775c33a5f1d0918d284a5e01b9b107a1f3,2020-12,Gwent Police,Gwent Police,-3.034470,51.613130,On or near WEARE CLOSE,W01001619,Newport 003C,Investigation complete; no suspect identified
b6e46ec61be200c1e645bf4f9e3d883e51f54af03cde4a5a18e2b125197fd404,2020-12,Gwent Police,Gwent Police,-3.057450,51.586517,On or near Parking Area,W01001672,Newport 009C,Investigation complete; no suspect identified
e90e5f588f2a7dcd52aea1a4474e9a089be338b77adca3b214beaf312c15e090,2020-12,Gwent Police,Gwent Police,-3.011994,51.577279,On or near BYRON ROAD,W01001630,Newport 017B,Investigation complete; no suspect identified
ebb05831bac787e16c547460d409ebbcc60cfe24ad5c50003ccb7b701308e856,2020-12,Gwent Police,Gwent Police,-3.251723,51.775409,On or near WESTERN CRESCENT,W01001479,Blaenau Gwent 006D,Investigation complete; no suspect identified
83c1ae0337b243c6f5ad05a26fd8322c75f4816926e261ee5b6728d92f2e8944,2020-12,Gwent Police,Gwent Police,-3.127345,51.734668,On or near ROCH STREET,W01001437,Blaenau Gwent 008C,Investigation complete; no suspect identified
a8035d3ba5bc8983e88a5989b1415dfcf3a63f940c7cca0e8dfe48b02219bdac,2020-12,Gwent Police,Gwent Police,-3.209103,51.805554,On or near ATTLEE CLOSE,W01001441,Blaenau Gwent 001B,Investigation complete; no suspect identified
8935e4be2d7eba7f82aa9fdc7173d73a45ba1ef32c2485294a3a053fa280d347,2020-12,Gwent Police,Gwent Police,-3.212158,51.663042,On or near CLOS GWENDRAETH,W01001388,Caerphilly 007D,Investigation complete; no suspect identified
9ef19a8a51ba522da9e6aeed269f01836d9d0183cf2ad58b6d76f0eed5a4e5bb,2020-12,Gwent Police,Gwent Police,-3.221174,51.694509,On or near RHIWAMOTH STREET,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
07b856db00aa179f0c5fc201c4dfcd14c9f2fbbbb53c84d9e1c207c753a2f0d7,2020-12,Gwent Police,Gwent Police,-3.222376,51.691889,On or near COMMERCIAL STREET,W01001326,Caerphilly 003B,Investigation complete; no suspect identified
588d0969b9980c2b05e34e28cb83d2d07cb765dfb15a268029deb260a5cd346b,2020-12,Gwent Police,Gwent Police,-3.009320,51.832570,On or near ST TEILO'S ROAD,W01001909,Monmouthshire 002F,Investigation complete; no suspect identified
b3daa1545baf96c4075fc4c002f9a318281be96ae3c2e4929ca835188753a391,2020-12,Gwent Police,Gwent Police,-3.005427,51.585068,On or near CAERAU ROAD,W01001685,Newport 014B,Investigation complete; no suspect identified
a7ec5f988b64aafa747e08669696a28f9bce894cb16d1ab7b415c03533248fb8,2020-12,Gwent Police,Gwent Police,-3.172662,51.791321,On or near LIMESTONE ROAD,W01001467,Blaenau Gwent 005D,Investigation complete; no suspect identified
41030a138f2d82edaecca22a02d6f6733860ccc1b33c5f7e6480a00dda9f8633,2020-12,Gwent Police,Gwent Police,-3.194059,51.701091,On or near HEOL PEN-RHIW'R-EGLWYS,W01001334,Caerphilly 005A,Investigation complete; no suspect identified
a3bb93fa526f13d0aeabbab648cb3d468eb0f2190f5c5b7940688f5dae09fd27,2020-12,Gwent Police,Gwent Police,-3.237959,51.587934,On or near BRYNGLAS,W01001393,Caerphilly 019D,Investigation complete; no suspect identified
ac523d9482a2e70108e52e1b1a912386f380dbd2183204f8d1f308a0b3a16f75,2020-12,Gwent Police,Gwent Police,-3.243421,51.573328,On or near DULAS ISLAND CLOSE,W01001398,Caerphilly 024A,Investigation complete; no suspect identified
6c9e48b290785f0e433a2f57212b3d742fc1c77f302701155d6e4b52fd9481fd,2020-12,Gwent Police,Gwent Police,-3.125701,51.614799,On or near Parking Area,W01001355,Caerphilly 015A,Investigation complete; no suspect identified
ef8763fa67cf0e9fdacff773565a6d9393f7c2bccb0f822f034dd15c758cd291,2020-12,Gwent Police,Gwent Police,-3.261242,51.788794,On or near HIGHFIELD CLOSE,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
98a647cb146731a88af83885a4afda521366900f7cb064122a159be291c012e1,2020-12,Gwent Police,Gwent Police,-2.994516,51.590376,On or near CLARENCE PLACE,W01001687,Newport 014D,Investigation complete; no suspect identified
8eef76b11c84bceb759dd70498068cacc64bc2f0f4d3bfb2294669bc11411d9d,2020-12,Gwent Police,Gwent Police,-3.161123,51.768831,On or near HIGH STREET,W01001443,Blaenau Gwent 005A,Investigation complete; no suspect identified
39493db1574a9b5cbf3c9b83b8193e2b7a1fe4e67fe7866bce4c316ec8825297,2020-12,Gwent Police,Gwent Police,-2.946312,51.577638,On or near Petrol Station,W01001646,Newport 015E,Investigation complete; no suspect identified
d5ace91141f746038b1c7052e249bc48a080a0ce4d05d140d8c82fdd91bdc8cd,2020-12,Gwent Police,Gwent Police,-3.138606,51.699880,On or near CAE FELIN STREET,W01001466,Blaenau Gwent 009C,Investigation complete; no suspect identified
96d5cd0de1301384a50f52f96aac85927e29a6e3498888b5787423179dbb3a5c,2020-12,Gwent Police,Gwent Police,-3.243718,51.589519,On or near CEFN-Y-LON,W01001397,Caerphilly 019E,Investigation complete; no suspect identified
f7d949fba50b2aa8d4ba1b840ce69a7c3b332447a4b062a00bccca6c951a573b,2020-12,Gwent Police,Gwent Police,-2.994714,51.580951,On or near GROVE LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
e8ff8d5b57cafc0d765d85133a577af48c7f89544ce7c5ee7d5c0b2d1b23abb0,2020-12,Gwent Police,Gwent Police,-3.181888,51.591579,On or near Petrol Station,W01001341,Caerphilly 020B,Investigation complete; no suspect identified
2f35831b0f7987dd0ea9b746015b7dc8f3a473083098854fa03f90d1576edd57,2020-12,Gwent Police,Gwent Police,-2.752307,51.590264,On or near Supermarket,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
9a43a5669a6f0bcdde53c5ddb512184b590fac3592f636e5984616ab6db1b183,2020-12,Gwent Police,Gwent Police,-3.003123,51.585978,On or near TUNNEL TERRACE,W01001685,Newport 014B,Investigation complete; no suspect identified
c55e3480dad955c3955928d07dab32e19555567d9988f648b005b7c8ba3bcb00,2020-12,Gwent Police,Gwent Police,-3.291579,51.651828,On or near YNYS LAS,W01001379,Caerphilly 013C,Investigation complete; no suspect identified
9e1547f42bdf2c60b78266205e20777baaaf3a50206ea7a9eba010ed48fa9635,2020-12,Gwent Police,Gwent Police,-2.993555,51.573462,On or near OSWALD ROAD,W01001660,Newport 018B,Investigation complete; no suspect identified
ad7f843540d0fc7afec29bf3ab9af78a8b368b943abfaeedce3616237ed9fc43,2020-12,Gwent Police,Gwent Police,-3.128942,51.720878,On or near CHAPEL ROAD,W01001476,Blaenau Gwent 009D,Investigation complete; no suspect identified
032f6f3248f0cd07e56ae22a30716d6359afd4c26ec3eb24d9a140ab2f909e46,2020-12,Gwent Police,Gwent Police,-3.283529,51.747507,On or near QUEEN STREET,W01001406,Caerphilly 001D,Investigation complete; no suspect identified
