Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c394a3101b30af656fb81c44a46370660c6c455e459f5e3f4eadad38d57d2a65,2021-01,Gwent Police,Gwent Police,-2.964252,51.585243,On or near CONWAY CROFT,W01001611,Newport 011A,Investigation complete; no suspect identified
390b64ce804a79b7a4eaad155203b22cf5fb1ce01384315b6bcee270bb601ca3,2021-01,Gwent Police,Gwent Police,-2.753554,51.644645,On or near USK ROAD,W01001590,Monmouthshire 009D,Investigation complete; no suspect identified
ef58046b65ac6cee6ca76ce55dbc2ece8eb2c426fe87aea7d9f9b0f5233dc36a,2021-01,Gwent Police,Gwent Police,-3.008767,51.638117,On or near COURT FARM CLOSE,W01001505,Torfaen 013B,Investigation complete; no suspect identified
f3744d9167b8a4798b6df570558de26351235b74f079d11548447d8664995ac2,2021-01,Gwent Police,Gwent Police,-2.998208,51.594859,On or near QUEEN'S HILL,W01001681,Newport 006B,Investigation complete; no suspect identified
feb4400d353fe075c2338c1589e96890448610e9e5a44458d5a008877af0f1b8,2021-01,Gwent Police,Gwent Police,-2.835602,51.581122,On or near BLENHEIM DRIVE,W01001572,Monmouthshire 011A,Investigation complete; no suspect identified
7e62254cacdbacb9dca2323b4859239cbe7912ec7028b311fd0e71e2ad0c1c88,2021-01,Gwent Police,Gwent Police,-2.987886,51.575551,On or near Parking Area,W01001659,Newport 018A,Investigation complete; no suspect identified
639138c8c8575a1945292b8193c8a1b496b1301000763fae96d104a4c563e9e1,2021-01,Gwent Police,Gwent Police,-3.006946,51.585226,On or near LLANTHEWY ROAD,W01001605,Newport 014A,Investigation complete; no suspect identified
c3c1ba5420f2f6a90660b4b7718b03c23887f2b62a8d9c71bf90a342322b5b44,2021-01,Gwent Police,Gwent Police,-3.038431,51.609508,On or near WELLAND CIRCLE,W01001619,Newport 003C,Investigation complete; no suspect identified
a3cd81c6554c13dde7d823d62f859257e7a62ae040888e6af7cdf2ddcbde0865,2021-01,Gwent Police,Gwent Police,-2.885366,51.598291,On or near WALTWOOD PARK DRIVE,W01001650,Newport 004E,Investigation complete; no suspect identified
8d7d53f2c7fb013184e6e12c3b7872754db091c28c9df654765d6b4ab74d4352,2021-01,Gwent Police,Gwent Police,-3.018446,51.557954,On or near MALLARD WAY,W01001688,Newport 019C,Investigation complete; no suspect identified
0a9bec11d74cb5c1633d016aa03a39e91d00f7cd781f8e1fcfd08ce696c5c5f9,2021-01,Gwent Police,Gwent Police,-3.021079,51.557032,On or near Supermarket,W01001689,Newport 019D,Investigation complete; no suspect identified
3307ff77fa53d9d227c3a05fd55695be739f1762f64d605f1edbe31025727847,2021-01,Gwent Police,Gwent Police,-2.991133,51.574247,On or near POTTERY TERRACE,W01001659,Newport 018A,Investigation complete; no suspect identified
1829e804b568ac70ec01bb929a7585c865066fd22d1a22c90d6e53a84e6813cb,2021-01,Gwent Police,Gwent Police,-2.945795,51.586121,On or near ABERTHAW AVENUE,W01001609,Newport 015B,Investigation complete; no suspect identified
4cf47ae16ac62692eb9e106ec0e92873032c85f3072c7908f13f27492a1a3300,2021-01,Gwent Police,Gwent Police,-2.992290,51.584290,On or near Theatre/Concert Hall,W01001687,Newport 014D,Investigation complete; no suspect identified
267cc9a6d6ce943eda4ad2e3f6caa688fa2c1453a08b0dc0af9e23d066e040a4,2021-01,Gwent Police,Gwent Police,-3.082295,51.606099,On or near FORSYTHIA CLOSE,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
edb6dc69009c27e045498dc80f3bd7d1f5e8a571fe59afe6da619bfd9e65a5f0,2021-01,Gwent Police,Gwent Police,-3.051022,51.588175,On or near CHARTIST DRIVE,W01001672,Newport 009C,Investigation complete; no suspect identified
3bd8240fbf2fe45fad49ea9e3a61102081b92e3d5d3628d4f2ff8026aab09d18,2021-01,Gwent Police,Gwent Police,-2.989613,51.578656,On or near COMMERCIAL ROAD,W01001661,Newport 018C,Investigation complete; no suspect identified
e8b5d5f093b912d36356048d5727198965b9585de39449147c5a955947765b46,2021-01,Gwent Police,Gwent Police,-3.212952,51.783584,On or near MOUNT PLEASANT ROAD,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
f0f58cc7901aa3d4766fae8abccef45e5191dec4a2c100617cfb1fb7c9095837,2021-01,Gwent Police,Gwent Police,-2.898756,51.706707,On or near LADYHILL CLOSE,W01001597,Monmouthshire 006F,Investigation complete; no suspect identified
b20cedf8d737231c5ff7492b6d3ced4839675ff6e6c74b6e9a0626fe71ce70bd,2021-01,Gwent Police,Gwent Police,-3.006706,51.661171,On or near BRYNHYFRYD,W01001494,Torfaen 008B,Investigation complete; no suspect identified
1eaeb98532493742313d19283c82536e2bfb6a44204557e682a73594f793c722,2021-01,Gwent Police,Gwent Police,-3.193440,51.800643,On or near BIG LANE,W01001440,Blaenau Gwent 001A,Investigation complete; no suspect identified
cf848580f02a2b7b69814496c4348ee2e63f0aa0812eaf4dcdef6523f15873de,2021-01,Gwent Police,Gwent Police,-2.946023,51.574179,On or near QUEENSWAY MEADOWS,W01001646,Newport 015E,Investigation complete; no suspect identified
f7f6d85694b7237e38cf07339ed6f5b8360c79bc3f0f6f7b9b5243d4592494df,2021-01,Gwent Police,Gwent Police,-3.128978,51.724052,On or near ALEXANDRA ROAD,W01001476,Blaenau Gwent 009D,Investigation complete; no suspect identified
e5ffd6656e42ab3338e0362f757bc86ef7e61f3774bfeab2d5f43e9b29a4dbad,2021-01,Gwent Police,Gwent Police,-2.883015,51.581287,On or near MOOR VIEW,W01001649,Newport 004D,Investigation complete; no suspect identified
78c1d7847ba7cf715ba489c25345de5eed9a11722b2558c1bade0bf78fd3c038,2021-01,Gwent Police,Gwent Police,-3.288350,51.770814,On or near PEN-Y-DRE,W01001428,Caerphilly 001E,Investigation complete; no suspect identified
02289c728f832317c7d8b64d324a86474ac7b9e16b25fa127105b65318b4a641,2021-01,Gwent Police,Gwent Police,-3.239976,51.768331,On or near Parking Area,W01001463,Blaenau Gwent 006B,Investigation complete; no suspect identified
6e49720c93b51e37cf4f003d66c569a0d780fcc268a2c6e806dd2d2f21c94168,2021-01,Gwent Police,Gwent Police,-3.240835,51.591240,On or near HEOL FER,W01001400,Caerphilly 019F,Investigation complete; no suspect identified
