Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a60061038e34eb66894c2f0b125266505337dd2a604086f4d8d24f5dbce75666,2020-05,Gwent Police,Gwent Police,-3.229880,51.687944,On or near HANBURY SQUARE,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
8b58fc58fa5255d7deda0df3f54035356947cdf66e4eac185bf71401e6032d66,2020-05,Gwent Police,Gwent Police,-2.970021,51.579620,On or near Petrol Station,W01001644,Newport 013C,Investigation complete; no suspect identified
21a66ee9bf9b0c1202f17cd02372b86c6006f81dd80338dbcae2d5ecc66520ea,2020-05,Gwent Police,Gwent Police,-2.967660,51.590754,On or near UPPER TENNYSON ROAD,W01001612,Newport 011B,Investigation complete; no suspect identified
ad9e06ac62f8d3e14846b1f0e72157814dc173233dc0bb4c06193519dc07af71,2020-05,Gwent Police,Gwent Police,-3.167269,51.678414,On or near RHW-Y-NANT,W01001390,Caerphilly 006E,Investigation complete; no suspect identified
1a416af11ab06db7561cd43540509af9d3c8f6541beba6b6f12ef0d3a3122b13,2020-05,Gwent Police,Gwent Police,-3.206916,51.579437,On or near ATTLEE COURT,W01001421,Caerphilly 022E,Investigation complete; no suspect identified
ee04c721751608e020c470a429c6c928640c4b89e59bc4704399ca3a8e5c6507,2020-05,Gwent Police,Gwent Police,-3.094179,51.604901,On or near CLYDE STREET,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
8c4f096fc92459e9ccad2df9cc7277fec6de988022489f004023f8ed72e9b08e,2020-05,Gwent Police,Gwent Police,-3.194412,51.592423,On or near PARK AVENUE,W01001344,Caerphilly 020C,Investigation complete; no suspect identified
d92f58143e7a30b216c9948e40ab8359c3c1bc7cbe5f61e9ba9a4f59f021908a,2020-05,Gwent Police,Gwent Police,-2.952171,51.581124,On or near GREENMEADOW AVENUE,W01001645,Newport 015D,Investigation complete; no suspect identified
5d8803a74033b3fd7052b1239cc08cc9d1904624e20ce5c1aaf01a7edb80e93b,2020-05,Gwent Police,Gwent Police,-3.011970,51.693666,On or near CAROLINE ROAD,W01001511,Torfaen 005B,Investigation complete; no suspect identified
c586a05e741975c5c30e3d7e9de1bd9d70787ed30912439f59bfc91743e06215,2020-05,Gwent Police,Gwent Police,-3.178323,51.618914,On or near Parking Area,W01001431,Caerphilly 015C,Investigation complete; no suspect identified
7f69f19a2bb51efbee02ae49196333b3b5685b0ba2e713048738b7e04581767a,2020-05,Gwent Police,Gwent Police,-3.165328,51.596555,On or near Sports/Recreation Area,W01001346,Caerphilly 020D,Investigation complete; no suspect identified
