Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d273746c412ce53bd13874f28ba47f22ade254c3223dd0e43ea94a85ca5cabe9,2021-02,Gwent Police,Gwent Police,-2.720968,51.808653,On or near ST THOMAS'S SQUARE,W01001576,Monmouthshire 004D,Suspect charged
7b082901c01dc6aeb1302c80824ddee2905634ba30ff6dd8b4fc142e1252657a,2021-02,Gwent Police,Gwent Police,-3.013308,51.834378,On or near LLWYNU LANE,W01001909,Monmouthshire 002F,Unable to prosecute suspect
d6f34d8309bd5af25e4cda95f8ec0a95794716cd1f1cce6cca3bc5d5afc701fe,2021-02,Gwent Police,Gwent Police,-2.710545,51.744447,On or near BEACON ROAD,W01001594,Monmouthshire 007E,Unable to prosecute suspect
0703d36139a7194b00f922eec0fac828700e8dd86c2e2ba1044b78a4c036eea5,2021-02,Gwent Police,Gwent Police,-3.182343,51.740692,On or near MILL TERRACE,W01001451,Blaenau Gwent 007B,Suspect charged
c65c4ce49ef8feb1c6c85ce9ad82fea75584472ef854ab529e29e29e940692b9,2021-02,Gwent Police,Gwent Police,-3.028741,51.610177,On or near BLACKWATER CLOSE,W01001621,Newport 003E,Offender given a caution
aa84464a933d7439497e1442f096cd276f4dec116f67069debff38ebd93e3027,2021-02,Gwent Police,Gwent Police,-2.964252,51.585243,On or near CONWAY CROFT,W01001611,Newport 011A,Suspect charged
5b9264937b252308ce2dcafe3de681cf44b9a761ca3b2e278c6d1b42d67d80e6,2021-02,Gwent Police,Gwent Police,-2.946023,51.574179,On or near QUEENSWAY MEADOWS,W01001646,Newport 015E,Suspect charged
c7b43c9c75edf035244996317cee1035c5252c575e7e13db0a24da46e424dcc2,2021-02,Gwent Police,Gwent Police,-3.000361,51.610710,On or near PILLMAWR ROAD,W01001655,Newport 002E,Suspect charged
b235339ba65748704ac278b9d4769a07f6949114fff8c0971b473ac784d4de0f,2021-02,Gwent Police,Gwent Police,-3.234420,51.712858,On or near A469,W01001385,Caerphilly 002D,Offender given a caution
943ecb67bc4bcf6f8e0346fa4ba360ba475deca7fa2ba05fc973cf9f25c32163,2021-02,Gwent Police,Gwent Police,-3.144391,51.665332,On or near VICTORIA TERRACE,W01001382,Caerphilly 010C,Unable to prosecute suspect
d710ee7907c55f1ec2192001208b322093820be56854b76820c34527b23a879b,2021-02,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Suspect charged
66a9dd17079c030e6583a5624b286cada65f91974448aa72dfdf7a973fd0b436,2021-02,Gwent Police,Gwent Police,-2.955478,51.576413,On or near NASH DRIVE,W01001648,Newport 015G,Unable to prosecute suspect
3e4de1d1d99ebe014a746b557f3f4d819cd8c57ef7004b88d5cdad9d85d84e22,2021-02,Gwent Police,Gwent Police,-3.204196,51.662665,On or near CLOS COED DUON,W01001349,Caerphilly 009B,Unable to prosecute suspect
306267a0e8aeda7c052bcbeb251098fed45c1c9b2403fca5e03687f33670cb46,2021-02,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Suspect charged
d52e68b25642679907d06743a4cfe1f249dacd18038f41d756b34a5828812999,2021-02,Gwent Police,Gwent Police,-2.946264,51.584373,On or near BRITTEN CLOSE,W01001609,Newport 015B,Suspect charged
c2c9cffb1af30157bb00aa94851c692b2b49e51363a476c45813eb0965997e7c,2021-02,Gwent Police,Gwent Police,-3.017259,51.579094,On or near MELFORT GARDENS,W01001631,Newport 017C,Offender given a caution
69e9bf58e11f03673726e0c3e99965d3e8042726515ef4fbe9b44290b0f292b7,2021-02,Gwent Police,Gwent Police,-3.279483,51.650414,On or near CAERPHILLY ROAD,W01001377,Caerphilly 013A,Unable to prosecute suspect
b3a235cec484d6ab4e61f0760b3d57198e616e1e31bdf0e8740a51bb24e3ed77,2021-02,Gwent Police,Gwent Police,-2.944110,51.583536,On or near SPYTTY ROAD,W01001668,Newport 010D,Unable to prosecute suspect
135b6d37bc3847a44b24b9d101168aa2dbb98fb526bb2e037c2828a780b56d10,2021-02,Gwent Police,Gwent Police,-3.046067,51.651449,On or near RAVENSCOURT,W01001503,Torfaen 009B,Unable to prosecute suspect
493c05d782c4b31f9b897192eb8b706f5748290661300e041ac85f80a4f7872d,2021-02,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Suspect charged
57f6b0797e33ec3cd24acea278e3bae2f27f4ffb174ef0f09e36ce301d89afed,2021-02,Gwent Police,Gwent Police,-3.002807,51.587365,On or near GODFREY ROAD,W01001603,Newport 012C,Suspect charged
f1b2e52efa5a4fbadda5a7b090d39a124ca1564c3f1567ad6a91f7a136048147,2021-02,Gwent Police,Gwent Police,-2.937226,51.587737,On or near ARNE CLOSE,W01001668,Newport 010D,Unable to prosecute suspect
b14c2239a834504bccdcc9f5ea1f31fe158e9ecfd5622460506baed69c72bfe4,2021-02,Gwent Police,Gwent Police,-2.992315,51.582113,On or near COMMERCIAL ROAD,W01001687,Newport 014D,Unable to prosecute suspect
d2d11c972446b6841d088001045636d709530bfb3fa82dea4337112da9f63750,2021-02,Gwent Police,Gwent Police,-3.187954,51.666311,On or near PARK TERRACE,W01001392,Caerphilly 009D,Unable to prosecute suspect
