Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f6ec7e1babd47da6903c26cd7359ce5f41d9766de11e7d4e21fccda6c23a5e1d,2020-06,Gwent Police,Gwent Police,-3.004677,51.658320,On or near Supermarket,W01001495,Torfaen 008C,Investigation complete; no suspect identified
c9c4f68261eaf9701c80ec6c71cebafe751fb8729dc49cdcef98a7ac420da6c3,2020-06,Gwent Police,Gwent Police,-2.675696,51.641442,On or near HIGH STREET,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
9c792e2cfe816c3c2d988c13aba38d8418e56c605c81f949226789c85f39bbf6,2020-06,Gwent Police,Gwent Police,-3.192572,51.753464,On or near PARK PLACE,W01001452,Blaenau Gwent 007C,Investigation complete; no suspect identified
d8391de24914a7180e9037ef9c82980088152239d69857eed1fbbe7021874f12,2020-06,Gwent Police,Gwent Police,-2.962573,51.585715,On or near PALM SQUARE,W01001611,Newport 011A,Investigation complete; no suspect identified
1d06dc3de2d629bd02890e40e83c118c3cf14c92f0ea7934809a491210074dce,2020-06,Gwent Police,Gwent Police,-3.122225,51.682872,On or near B4471,W01001359,Caerphilly 006D,Investigation complete; no suspect identified
3b0ee7bf3ae61255daae451850fe73eae66e687f48526d427f1cb71fcbffe4ea,2020-06,Gwent Police,Gwent Police,-3.108905,51.706026,On or near Park/Open Space,W01001541,Torfaen 004F,Investigation complete; no suspect identified
8ce564ac0013b544cc0e7e3ad6e1932e7c705f65a74d1d2f044602096f29a49e,2020-06,Gwent Police,Gwent Police,-3.043596,51.706813,On or near DAVIS CLOSE,W01001524,Torfaen 004D,Investigation complete; no suspect identified
14e741ade5fb037dcfd24a82d045c06de4cd226db62a5688bb71b4f8cbbad0ad,2020-06,Gwent Police,Gwent Police,-3.231408,51.602435,On or near DE WINTON TERRACE,W01001367,Caerphilly 019B,Investigation complete; no suspect identified
2c52e41f48f94c39db8418bb644036a093efb9a9858dfadf29fc9874d3cd284f,2020-06,Gwent Police,Gwent Police,-2.813259,51.616544,On or near Parking Area,W01001542,Monmouthshire 009A,Investigation complete; no suspect identified
0b7437dd82938b2a2efe57bfd0042e653bf8b624135226abe230548e5df3a501,2020-06,Gwent Police,Gwent Police,-3.019253,51.611429,On or near PARRET ROAD,W01001622,Newport 003F,Investigation complete; no suspect identified
